t,S,I,R,D
206,0.994885926442768,0.117164607814655,0.1038147192516,0.31383781771555
207,0.994873245546337,0.117455130084304,0.10403792539019,0.315120054598474
208,0.994860507270285,0.117746966934359,0.104254112467818,0.31652637892168
209,0.994821489127422,0.118640881610203,0.105125879839292,0.317746572084462
210,0.994789758196535,0.119367844574529,0.105813747813563,0.319049490207433
211,0.994753895932875,0.120189457328063,0.106601286453493,0.320373089570451
212,0.994724402807241,0.120865151656568,0.107241424813223,0.321572601493186
213,0.994689515997152,0.121664416543206,0.108020540579999,0.322668707215685
214,0.994676548202612,0.121961511714883,0.108269015338052,0.323682087977995
215,0.994667023185384,0.122179732062222,0.108447299486486,0.324488656339834
216,0.994632882310379,0.122961907403585,0.109206761882568,0.32560544330238
217,0.994601839934954,0.123673095403044,0.109908667978763,0.326453374144314
218,0.994571830392723,0.1243606209552,0.110574074957956,0.327466754906624
219,0.994541419193139,0.125057348570197,0.111264750556612,0.328252642028416
220,0.994516918094606,0.125618674403411,0.111785564879988,0.329410791471057
221,0.994505556929479,0.12587896132373,0.111998944333231,0.330362128513226
222,0.994496663088091,0.126082721286606,0.112133710303701,0.331582321676008
223,0.994471702952583,0.126654563763065,0.112678389434348,0.332554339958224
224,0.994448521585353,0.127185654246949,0.113180954199223,0.333505677000393
225,0.994423561449845,0.127757496723408,0.113735460015217,0.334332926602279
226,0.994401126017699,0.128271497662019,0.11421275616063,0.335387669844684
227,0.994379895557612,0.12875789241211,0.114670398935349,0.336297644406759
228,0.994367731077779,0.129036583458109,0.114879566952015,0.337600562529729
229,0.994358837236391,0.129240343420985,0.115033986293178,0.338531218331851
230,0.994331754054874,0.129860825372453,0.115612356916442,0.33977209273468
231,0.994304785632602,0.130478678163111,0.116218803783555,0.340557979856472
232,0.994280571432178,0.131033431094296,0.116742425731316,0.341571360618783
233,0.994255381778183,0.131610531892378,0.117277278176616,0.342770872541518
234,0.994230077364944,0.132190261851271,0.117824764931648,0.343825615783922
235,0.994217511227757,0.132478154960109,0.118059201567777,0.344901040266374
236,0.994207010756958,0.132718723174344,0.11825433146252,0.345811014828449
237,0.994177230733214,0.133400990404878,0.118897277446634,0.347072570471325
238,0.994145557181949,0.134126638788798,0.119603394979406,0.348085951233636
239,0.994120482287198,0.134701110426069,0.120150881734438,0.349057969515852
240,0.994091276059673,0.135370231852546,0.120774174347859,0.350402250118917
241,0.994062012452526,0.136040667859429,0.121401678397857,0.351705168241888
242,0.994051684120591,0.136277292332447,0.121575751109714,0.352863317684528
243,0.994041011510926,0.136521804287898,0.121780707689802,0.353690567286415
244,0.994008878922686,0.137257969315064,0.122474190912843,0.355055529129527
245,0.993977262751043,0.137982303118579,0.123171885572461,0.356172316092073
246,0.993947367968056,0.138667199509924,0.123834484927268,0.357185696854383
247,0.993916268213009,0.139379702089788,0.124506910967423,0.358488614977354
248,0.993886832466997,0.140054081837889,0.125142837890576,0.359729489380183
249,0.993875069644516,0.140323570821047,0.125364640216973,0.360701507662399
250,0.993864454414472,0.140566768196093,0.125549943426369,0.361797613384899
251,0.993844027269091,0.141034758820506,0.125972490896278,0.362935081587492
252,0.993809484736734,0.141826136224709,0.126745991414285,0.363989824829897
253,0.993779417814881,0.142514976357271,0.127405783144708,0.365106611792443
254,0.993751646077902,0.143151233273608,0.128000999514281,0.366347486195272
255,0.993722382470755,0.143821669280491,0.128615869254548,0.367836535478667
256,0.993707176870963,0.144170033087989,0.128895227880833,0.369201497321779
257,0.993693520520961,0.144482903224534,0.12915774076081,0.370256240564184
258,0.993655248313183,0.145359728355105,0.12998598995432,0.371848696047815
259,0.993615771133345,0.146264159674194,0.130874603072103,0.372986164250408
260,0.993576236573886,0.147169905573689,0.131739351382615,0.374495894773851
261,0.99354238259699,0.147945508013025,0.132469333722657,0.375943581577151
262,0.99351053690686,0.148675100138162,0.133150182635966,0.377391268380452
